Point X,Point Y,Point Z,Heading,Type,Move
18820.1,1306.3,0,1.32797,2,1
18826.5,1355.78,0,1.55524,2,1
18821.6,1405.43,0,1.78252,2,1
18805.7,1452.71,0,2.00979,2,1
18779.5,1495.17,0,2.23706,2,1
18744.4,1530.64,0,2.46433,2,1
18702.2,1557.3,0,2.69161,2,1
18655.1,1573.77,0,2.91888,2,1
18605.5,1579.2,0,3.14615,2,1
18592.3,1578.74,0,3.2062,2,1
18592.3,1578.74,0,3.2062,2,1
18542.4,1575.51,0,3.2062,2,1
18492.5,1572.29,0,3.2062,2,1
18442.6,1569.06,0,3.2062,2,1
18392.8,1565.83,0,3.2062,2,1
18342.9,1562.6,0,3.2062,2,1
18293,1559.37,0,3.2062,2,1
18243.1,1556.15,0,3.2062,2,1
18193.2,1552.92,0,3.2062,2,1
18143.3,1549.69,0,3.2062,2,1
18132.1,1548.97,0,3.2062,2,1
18132.1,1548.97,0,3.2062,2,1
18083,1540.12,0,3.43347,2,1
18056.8,1530.4,0,3.56047,2,1
18056.8,1530.4,0,3.56047,2,1
17919.8,1469.39,0,3.56047,4,1
-11325.6,-11551.5,0,3.56047,1,1
-11599.6,-11673.5,0,3.56047,5,1
-11647.2,-11688.5,0,3.3332,2,1
-11696.9,-11692.4,0,3.10593,2,1
-11746.3,-11684.9,0,2.87865,2,1
-11792.7,-11666.6,0,2.65138,2,1
-11808.2,-11657.5,0,2.56943,2,1
-11808.2,-11657.5,0,2.56943,2,1
-11850.3,-11630.4,0,2.56943,2,1
-11892.3,-11603.3,0,2.56943,2,1
-11934.3,-11576.3,0,2.56943,2,1
-11969,-11553.9,0,2.56943,2,1
-11969,-11553.9,0,2.56943,2,1
-12007.6,-11522.3,0,2.34216,2,1
-12038.1,-11482.8,0,2.11489,2,1
-12058.9,-11437.5,0,1.88762,2,1
-12069,-11388.6,0,1.66034,2,1
-12067.8,-11338.8,0,1.43307,2,1
-12055.4,-11290.4,0,1.2058,2,1
-12032.4,-11246.1,0,0.978525,2,1
-12000.1,-11208.2,0,0.751252,2,1
-11960,-11178.5,0,0.52398,2,1
-11939.4,-11168,0,0.418879,2,1
-11939.4,-11168,0,0.418879,2,1
-11802.3,-11107,0,0.418879,4,1
17143.5,1780.57,0,0.418879,1,1
17417.6,1902.59,0,0.418879,5,1
17460.6,1927.92,0,0.646152,2,1
17496.7,1962.28,0,0.873424,2,1
